session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device
157390,2025-05-06T17:59:36Z,male,31,SE,white/swedish,White,desktop
157391,2025-05-06T17:52:34Z,female,65,ZA,black,Black,phone
157392,2025-05-06T17:51:51Z,male,33,CA,asian,Asian,laptop
157393,2025-05-06T17:52:16Z,male,26,CL,latino,Latine,laptop
157394,2025-05-06T17:56:36Z,female,34,ZA,black,Black,laptop
157396,2025-05-06T18:06:27Z,male,47,GB,black,Black,laptop
157399,2025-05-06T17:55:23Z,female,24,FR,white,White,desktop
157400,2025-05-06T17:58:26Z,female,51,US,black american,Black,laptop
157401,2025-05-06T17:53:25Z,male,31,HR,white/caucasian,White,desktop
157402,2025-05-06T17:54:42Z,male,49,GB,white,White,laptop
157403,2025-05-06T17:52:32Z,female,60,ZA,white,White,laptop
157404,2025-05-06T17:55:10Z,female,22,ZA,black,Black,phone
157405,2025-05-06T18:01:14Z,female,23,IN,asian,Asian,laptop
157407,2025-05-06T17:54:36Z,female,25,ZA,black,Black,phone
157408,2025-05-06T17:54:23Z,male,29,FR,asian,Asian,laptop
157409,2025-05-06T18:09:16Z,male,33,EE,white/estonian,White,desktop
157410,2025-05-06T17:57:19Z,female,34,US,black,Black,laptop
157413,2025-05-06T17:53:47Z,male,29,CL,hispanic,Latine,desktop
157414,2025-05-06T18:02:28Z,female,30,GB,black,Black,laptop
157415,2025-05-06T18:10:00Z,male,39,US,white,White,laptop
157416,2025-05-06T17:54:41Z,male,36,US,white,White,desktop
157417,2025-05-06T18:09:47Z,male,19,ZA,black,Black,desktop
157419,2025-05-06T18:07:09Z,female,28,ZA,black,Black,phone
157420,2025-05-06T17:54:22Z,male,28,IT,white,White,desktop
157421,2025-05-06T17:56:59Z,female,47,GB,white,White,laptop
157422,2025-05-06T17:59:54Z,male,30,ES,caucasic,White,laptop
157423,2025-05-06T17:59:11Z,male,32,ZA,white,White,desktop
157424,2025-05-06T17:54:16Z,male,24,ZA,black,Black,laptop
157425,2025-05-06T17:56:55Z,male,35,FR,white,White,desktop
157426,2025-05-06T17:59:12Z,male,45,CL,latino,Latine,desktop
157427,2025-05-06T17:55:43Z,male,36,US,black,Black,laptop
157428,2025-05-06T18:04:13Z,female,39,PL,white/caucasian,White,laptop
